time,open,high,low,close,Volume,Volume MA
1511780400,33.57,33.8,33.3,33.63,1910,2819
1512385200,33.64,33.9,32.75,33.68,1264,2827.35
1512990000,33.59,34.1,33.58,34,950,2829
1513594800,34.2,34.25,33.51,34.09,2265,2858.8
1514286000,33.9,34.21,33.9,34.14,337,2653.45
1514890800,34.4,34.4,33.6,33.7,1730,2530
1515409200,33.55,33.55,32.2,32.23,6110,2699.95
1516014000,32.19,32.88,31.65,32.75,2420,2633.55
1516618800,32.8,33.3,32.51,32.54,1878,2556.05
1517223600,32.8,33.17,32.65,32.9,1892,2386.1
1517828400,32.99,33.6,32.9,33.3,2015,2374.65
1518606000,33.26,34.03,33.26,34,1606,2308.7
1519041600,34.01,36.15,34.01,36.08,4827,2455.4
1519646400,37.84,38.32,36.75,38.32,13391,2969.65
1520251200,38.26,38.33,37.16,38.11,15691,3546.3
1520856000,38.07,41.72,37.01,37.05,18935,4394.35
1521460800,37.1,38.2,36.53,36.68,119,4270.55
1522065600,36.7,36.78,36.4,36.4,55,4069.15
1522670400,36.58,37.7,36.58,37.7,74,3919.05
1523275200,37.6,38,36.62,36.99,39,3875.4
1523880000,36.95,37.05,36.25,36.25,12,3780.5
1524484800,37.21,39.05,37,38.96,100,3722.3
1525089600,39.4,41.45,39.35,40.62,82,3678.9
1525694400,41,42.36,41,41.11,313,3581.3
1526299200,41.86,42.35,40.3,42.29,15461,4337.5
1526904000,42.3,42.47,41.07,41.53,16890,5095.5
1527508800,41.57,41.57,40.31,40.62,9439,5261.95
1528113600,40.73,41.14,39.65,39.9,16307,5956.3
1528718400,39.81,39.81,36.52,37.3,20584,6891.6
1529323200,37.25,37.74,35.8,36.8,10805,7337.25
1529928000,36.83,37.51,35.97,37.21,7574,7615.2
1530532800,37.38,38.5,36.9,38.2,5016,7785.7
1531137600,38.25,38.35,37.13,37.9,7251,7906.9
1531742400,39.82,41.44,39.69,40.75,946,7284.65
1532347200,41.1,42.55,41,42.45,1101,6555.15
1532952000,42.59,43.2,42.4,42.93,1521,5684.45
1533556800,42.91,44.1,42.72,42.87,3146,5835.8
1534161600,42.84,43.7,42.35,43.45,1827,5924.4
1534766400,43.46,44.25,43.13,43.62,1526,5997
1535371200,43.4,43.51,42.28,42.75,3687,6179.4
1535976000,43.19,43.72,42.08,42.17,3760,6366.8
1536580800,42,42.15,40.74,41.32,7026,6713.1
1537185600,42.3,42.31,40.1,40.88,1826,6800.3
1537790400,41,41.25,40.2,40.9,1316,6850.45
1538395200,40.91,41.17,39.56,39.75,2820,6218.4
1539000000,39.4,39.8,38,38.19,1467,5447.25
1539604800,38.2,38.78,36.01,36.36,1877,5069.15
1540209600,36.15,36.46,35.59,35.59,2641,4385.85
1540814400,35.51,37.05,34.84,37.05,2300,3471.65
1541415600,37.1,39,36.67,38.78,5079,3185.35
1542020400,38.7,39.25,37.4,37.64,4363,3024.8
1542625200,37.7,38.6,37.45,37.7,798,2813.9
1543230000,37.35,37.98,36.55,36.9,1410,2521.85
1543834800,37,37.7,36.87,37.6,1656,2557.35
1544439600,37.75,38.08,37.33,37.8,2202,2612.4
1545044400,37.5,39.65,37.5,39.61,4567,2764.7
1545649200,39.61,39.9,39.32,39.65,1908,2702.8
1546426800,39.5,40.25,39.15,40.16,3837,2803.3
1546858800,40.18,40.3,38.5,39.44,7212,3087.6
1547463600,39.48,40.05,37.13,37.65,2911,3048.8
1548068400,38.02,38.95,37.65,38.7,1354,2928.5
1548673200,38.6,39.42,38.33,38.94,553,2604.85
1549278000,38.99,39.04,38.1,38.6,0,2513.55
1549882800,38.61,39.6,38.55,39.34,0,2447.75
1550491200,39.5,39.99,39.31,39.57,4202,2516.85
1551096000,39.73,40.2,39.17,39.44,1,2443.55
1551873600,39.6,39.6,39.14,39.17,11,2350.25
1552305600,37.79,37.79,34.66,34.95,2,2218.3
1552910400,34.1,34.5,33.05,34.45,0,2103.3
1553515200,34.65,34.9,33.8,33.81,872,1892.95
